2020-02-15,2,-1,-14,-4,0,1
2020-02-16,1,2,-7,1,1,1
2020-02-17,-3,0,-17,12,19,-2
2020-02-18,-3,-2,-9,4,15,-1
2020-02-19,-3,-2,-17,0,15,0
2020-02-20,1,0,10,8,18,-1
2020-02-21,1,0,-3,6,16,-1
2020-02-22,2,-1,4,3,0,0
2020-02-23,0,1,-9,2,-1,0
2020-02-24,-5,-2,-20,14,19,-1
2020-02-25,-3,-1,-1,4,16,-1
2020-02-26,-3,-4,-19,0,10,1
2020-02-27,-2,-2,-6,9,18,0
2020-02-28,0,0,-5,5,17,-1
2020-02-29,3,-3,-5,1,2,0
2020-03-01,-4,-2,-13,4,0,2
2020-03-02,-4,0,-27,7,20,-1
2020-03-03,-3,1,-6,5,16,-1
2020-03-04,0,6,-5,8,18,-2
2020-03-05,-8,-3,-35,-1,15,2
2020-03-06,0,4,-3,9,17,-2
2020-03-07,-2,-2,-11,-3,-3,0
2020-03-08,-4,-5,-4,-12,-2,1
2020-03-09,-18,-10,-3,-18,-60,9
2020-03-10,-5,2,-7,2,12,-1
2020-03-11,-4,0,-3,5,17,-1
2020-03-12,-4,2,5,9,18,-1
2020-03-13,-6,0,-30,0,17,1
2020-03-14,-3,2,-21,1,3,2
2020-03-15,-7,5,-22,-3,1,3
2020-03-16,-9,13,-26,1,18,0
2020-03-17,-9,14,-14,-6,12,1
2020-03-18,-13,12,-24,-9,9,3
2020-03-19,-15,10,-20,-14,10,4
2020-03-20,-17,3,-30,-17,8,5
2020-03-21,-18,-11,-33,-27,-5,7
2020-03-22,-27,-11,-41,-35,-9,7
2020-03-23,-24,0,-44,-28,5,5
2020-03-24,-31,-6,-36,-33,-3,7
2020-03-25,-30,-5,-43,-36,-6,9
2020-03-26,-34,-10,-35,-43,-9,11
2020-03-27,-37,-11,-46,-44,-12,12
2020-03-28,-42,-25,-51,-51,-24,12
2020-03-29,-50,-30,-70,-62,-28,13
2020-03-30,-39,-14,-66,-52,-17,11
2020-03-31,-50,-25,-63,-57,-24,14
2020-04-01,-46,-23,-58,-56,-25,15
2020-04-02,-52,-29,-72,-66,-27,18
2020-04-03,-45,-20,-61,-60,-25,17
2020-04-04,-52,-33,-79,-70,-34,18
2020-04-05,-52,-31,-76,-70,-33,15
2020-04-06,-46,-24,-68,-59,-24,14
2020-04-07,-45,-21,-62,-56,-28,15
2020-04-08,-41,-15,-60,-56,-27,14
2020-04-09,-34,1,-52,-55,-27,14
2020-04-10,-86,-71,-73,-78,-78,31
2020-04-11,-49,-22,-78,-71,-38,18
2020-04-12,-61,-46,-77,-70,-36,16
2020-04-13,-63,-41,-71,-72,-73,25
2020-04-14,-51,-25,-61,-59,-42,18
2020-04-15,-51,-27,-71,-63,-36,18
2020-04-16,-50,-24,-60,-60,-35,18
2020-04-17,-51,-24,-69,-65,-34,20
2020-04-18,-53,-30,-71,-66,-33,17
2020-04-19,-56,-30,-69,-67,-32,15
2020-04-20,-52,-24,-75,-64,-31,16
2020-04-21,-50,-21,-65,-60,-32,16
2020-04-22,-47,-19,-62,-58,-32,16
2020-04-23,-47,-19,-57,-59,-30,16
2020-04-24,-46,-15,-63,-61,-31,18
2020-04-25,-56,-35,-70,-65,-40,17
2020-04-26,-48,-20,-73,-69,-31,14
2020-04-27,-48,-19,-69,-58,-27,14
2020-04-28,-47,-19,-60,-55,-27,13
2020-04-29,-47,-20,-66,-58,-28,9
2020-04-30,-46,-17,-60,-59,-26,16
2020-05-01,-44,-14,-63,-58,-25,17
2020-05-02,-47,-25,-77,-67,-32,16
2020-05-03,-48,-22,-70,-64,-28,14
2020-05-04,-40,-18,-64,-55,-21,12
2020-05-05,-42,-18,-57,-54,-23,13
2020-05-06,-40,-15,-59,-55,-23,14
2020-05-07,-40,-14,-54,-54,-22,15
2020-05-08,-38,-9,-59,-54,-22,16
2020-05-09,-34,-7,-74,-63,-28,14
2020-05-10,-39,-16,-66,-57,-23,11
2020-05-11,-42,-18,-66,-55,-19,12
2020-05-12,-43,-17,-67,-56,-23,14
2020-05-13,-39,-14,-59,-53,-21,14
2020-05-14,-38,-14,-50,-54,-19,13
2020-05-15,-37,-12,-53,-54,-20,14
2020-05-16,-34,-18,-55,-56,-24,12
2020-05-17,-39,-18,-59,-61,-24,11
2020-05-18,-35,-15,-60,-52,-16,11
2020-05-19,-36,-15,-55,-53,-18,12
2020-05-20,-35,-16,-61,-54,-19,13
2020-05-21,-33,-13,-46,-53,-18,13
2020-05-22,-32,-11,-49,-51,-17,13
2020-05-23,-27,-15,-54,-52,-22,10
2020-05-24,-34,-15,-60,-59,-24,10
2020-05-25,-32,-13,-61,-45,-12,10
2020-05-26,-33,-15,-56,-47,-13,10
2020-05-27,-30,-13,-54,-46,-12,11
2020-05-28,-30,-12,-47,-45,-11,11
2020-05-29,-30,-9,-54,-47,-11,12
2020-05-30,-25,-15,-53,-49,-20,10
2020-05-31,-32,-15,-62,-57,-21,10
2020-06-01,-32,-14,-64,-46,-8,9
2020-06-02,-32,-13,-56,-46,-11,10
2020-06-03,-29,-12,-55,-44,-10,10
2020-06-04,-27,-10,-46,-45,-9,10
2020-06-05,-26,-8,-57,-48,-10,10
2020-06-06,-21,-13,-41,-51,-18,7
2020-06-07,-25,-19,-38,-55,-20,7
2020-06-08,-34,-18,-37,-59,-66,16
2020-06-09,-26,-10,-55,-41,-9,8
2020-06-10,-26,-13,-53,-44,-7,9
2020-06-11,-26,-9,-51,-44,-7,9
2020-06-12,-26,-9,-62,-47,-7,10
