2020-02-15,-12,-10,5,4,-8,-1
2020-02-16,-6,-6,-8,4,-1,-2
2020-02-17,-2,-3,11,-11,-20,4
2020-02-18,-1,-2,15,-8,-18,3
2020-02-19,-7,-9,-5,-10,-15,2
2020-02-20,-3,-9,-1,-8,-19,4
2020-02-21,-4,-3,8,-6,-18,4
2020-02-22,-8,-6,9,6,-8,0
2020-02-23,-2,0,5,7,-2,0
2020-02-24,-1,1,11,0,2,1
2020-02-25,-3,0,4,1,2,0
2020-02-26,-4,-2,-3,-3,2,1
2020-02-27,-2,-4,-7,0,1,1
2020-02-28,-2,4,-5,3,3,1
2020-02-29,-4,3,-16,5,1,1
2020-03-01,-11,0,-33,-2,-2,1
2020-03-02,-6,5,-15,-4,2,2
2020-03-03,-4,8,1,-3,2,0
2020-03-04,-8,2,-16,-7,2,1
2020-03-05,-8,-5,-19,-4,1,2
2020-03-06,-6,6,-8,-2,3,1
2020-03-07,-8,2,4,1,0,1
2020-03-08,-11,-2,-23,-6,-3,1
2020-03-09,-7,1,-4,-8,0,2
2020-03-10,-10,2,-10,-8,-1,2
2020-03-11,-9,1,-1,-9,-1,1
2020-03-12,-9,4,-5,-9,-2,2
2020-03-13,-14,18,-11,-12,-3,4
2020-03-14,-28,4,-34,-20,-8,6
2020-03-15,-53,25,34,-24,-17,5
2020-03-16,-47,46,-39,-42,-47,18
2020-03-17,-73,-11,-65,-66,-68,30
2020-03-18,-84,-38,-69,-78,-76,35
2020-03-19,-83,-37,-69,-79,-78,38
2020-03-20,-84,-37,-80,-81,-78,41
2020-03-21,-88,-51,-89,-82,-64,26
2020-03-22,-89,-58,-86,-83,-59,19
2020-03-23,-83,-38,-80,-83,-80,38
2020-03-24,-84,-40,-81,-83,-81,40
2020-03-25,-85,-45,-81,-84,-81,38
2020-03-26,-84,-43,-80,-84,-81,40
2020-03-27,-85,-42,-82,-84,-80,42
2020-03-28,-88,-53,-85,-83,-66,26
2020-03-29,-91,-69,-89,-87,-63,20
2020-03-30,-86,-42,-79,-84,-81,39
2020-03-31,-92,-31,-78,-84,-82,40
2020-04-01,-92,-34,-77,-84,-80,37
2020-04-02,-92,-32,-79,-84,-81,40
2020-04-03,-88,-34,-87,-83,-80,42
2020-04-04,-89,-42,-86,-80,-65,26
2020-04-05,-90,-56,-83,-82,-59,19
2020-04-06,-86,-35,-85,-83,-81,38
2020-04-07,-85,-30,-83,-82,-81,39
2020-04-08,-86,-34,-84,-82,-80,36
2020-04-09,-85,-32,-82,-82,-81,39
2020-04-10,-85,-27,-83,-82,-79,41
2020-04-11,-87,-38,-87,-79,-63,25
2020-04-12,-89,-56,-86,-82,-58,19
2020-04-13,-91,-65,-84,-88,-91,42
2020-04-14,-82,-20,-82,-80,-79,37
2020-04-15,-84,-28,-81,-80,-78,36
2020-04-16,-83,-28,-78,-80,-79,38
2020-04-17,-84,-27,-81,-80,-78,40
2020-04-18,-87,-42,-85,-78,-60,25
2020-04-19,-89,-60,-81,-80,-54,18
2020-04-20,-82,-33,-78,-80,-78,36
2020-04-21,-82,-31,-78,-79,-77,37
2020-04-22,-83,-32,-77,-79,-75,34
2020-04-23,-82,-29,-75,-78,-76,37
2020-04-24,-83,-28,-81,-79,-75,39
2020-04-25,-85,-38,-83,-76,-57,24
2020-04-26,-87,-54,-76,-77,-51,17
2020-04-27,-81,-31,-78,-79,-75,35
2020-04-28,-81,-29,-80,-78,-75,34
2020-04-29,-82,-31,-84,-79,-74,34
2020-04-30,-77,-18,-82,-78,-74,35
2020-05-01,-91,-75,-83,-86,-90,45
2020-05-02,-80,-22,-81,-73,-54,23
