2020-02-15,-11,-6,-51,-12,-4,2
2020-02-16,-6,-3,-33,3,-1,
2020-02-17,8,-6,,10,-14,3
2020-02-18,10,-5,,12,-14,3
2020-02-19,5,-5,,4,-14,3
2020-02-20,3,-4,,8,-14,3
2020-02-21,2,-5,,0,-15,3
2020-02-22,-4,-4,-44,-6,-2,2
2020-02-23,-2,0,7,-1,-2,
2020-02-24,0,0,,13,-1,1
2020-02-25,2,3,,12,-1,0
2020-02-26,2,1,,8,1,0
2020-02-27,3,1,,17,1,0
2020-02-28,-1,0,,6,2,0
2020-02-29,2,-2,-31,1,0,0
2020-03-01,1,-6,-28,2,-4,
2020-03-02,5,1,,10,2,0
2020-03-03,7,3,,8,1,-1
2020-03-04,5,5,,7,1,0
2020-03-05,6,5,,17,2,0
2020-03-06,4,1,,13,2,0
2020-03-07,-2,4,,-1,2,0
2020-03-08,6,5,4,4,0,
2020-03-09,1,3,,13,2,1
2020-03-10,4,9,,11,1,0
2020-03-11,2,10,,7,1,1
2020-03-12,4,30,,7,-1,2
2020-03-13,-1,19,,-5,-3,2
2020-03-14,-13,11,,-21,-2,4
2020-03-15,-15,4,9,-19,-4,
2020-03-16,3,25,,-13,-18,6
2020-03-17,-11,10,,-33,-50,17
2020-03-18,-18,19,,-30,-19,10
2020-03-19,-14,17,,-36,-23,12
2020-03-20,-21,12,,-49,-25,13
2020-03-21,-43,16,,-57,-21,
2020-03-22,-56,-18,4,-64,-27,
2020-03-23,-38,-4,,-63,-40,17
2020-03-24,-60,-15,,-70,-54,23
2020-03-25,-66,-18,,-76,-62,27
2020-03-26,-66,-24,,-73,-64,28
2020-03-27,-67,-24,,-79,-65,29
2020-03-28,-75,-28,-56,-80,-57,
2020-03-29,-81,-46,-61,-89,-52,
2020-03-30,-65,-30,,-80,-68,27
2020-03-31,-67,-28,,-77,-69,28
2020-04-01,-66,-29,,-80,-69,29
2020-04-02,-68,-28,,-81,-70,30
2020-04-03,-67,-27,,-82,-68,30
2020-04-04,-72,-30,-54,-79,-57,
2020-04-05,-79,-47,-70,-89,-53,
2020-04-06,-60,-29,,-80,-68,27
2020-04-07,-63,-25,,-75,-69,28
2020-04-08,-61,-25,,-75,-68,28
2020-04-09,-58,-18,,-74,-69,28
2020-04-10,-62,-25,,-81,-72,30
2020-04-11,-69,-23,-56,-77,-56,
2020-04-12,-91,-64,-67,-89,-59,
2020-04-13,-70,-38,,-85,-83,
2020-04-14,-66,-30,,-78,-79,31
2020-04-15,-57,-21,,-74,-70,29
2020-04-16,-58,-22,,-78,-70,29
2020-04-17,-61,-23,,-80,-69,29
2020-04-18,-73,-30,-62,-80,-53,
2020-04-19,-76,-45,-51,-86,-47,
2020-04-20,-60,-27,,-78,-65,26
2020-04-21,-62,-24,,-74,-66,27
2020-04-22,-62,-23,,-73,-66,27
2020-04-23,-62,-23,,-76,-66,28
2020-04-24,-64,-23,,-80,-65,28
2020-04-25,-69,-25,-43,-73,-49,
2020-04-26,-74,-41,-50,-86,-45,
2020-04-27,-60,-27,,-77,-63,25
2020-04-28,-59,-22,,-73,-64,24
2020-04-29,-64,-25,,-74,-65,28
2020-04-30,-59,-20,,-77,-64,28
2020-05-01,-64,-25,,-79,-64,28
2020-05-02,-68,-22,-35,-73,-47,
