2020-02-15,-14,-10,-47,-13,0,2
2020-02-16,1,-4,-18,-4,1,
2020-02-17,15,-2,,0,-15,2
2020-02-18,14,-1,,-3,-13,3
2020-02-19,10,-2,,5,-14,2
2020-02-20,5,-2,,-4,-14,2
2020-02-21,2,-4,9,-2,-16,3
2020-02-22,-5,-4,-29,-11,-1,0
2020-02-23,-1,-3,-24,-3,-1,
2020-02-24,2,-3,,-2,-3,2
2020-02-25,8,6,,7,2,1
2020-02-26,6,0,-7,7,1,0
2020-02-27,3,1,,5,1,0
2020-02-28,0,1,-28,-1,-1,1
2020-02-29,3,2,-22,-3,4,0
2020-03-01,4,-1,-28,-9,5,
2020-03-02,9,3,,5,2,0
2020-03-03,5,3,,9,3,1
2020-03-04,2,6,,7,1,0
2020-03-05,4,6,,8,3,0
2020-03-06,9,4,,12,3,0
2020-03-07,2,-1,-1,6,3,0
2020-03-08,11,2,16,5,6,
2020-03-09,2,4,,5,2,1
2020-03-10,5,5,,3,2,1
2020-03-11,2,4,-7,3,1,1
2020-03-12,-1,12,,2,2,1
2020-03-13,2,9,-4,5,0,1
2020-03-14,0,7,7,-3,3,1
2020-03-15,0,15,7,-9,2,
2020-03-16,6,22,,8,-3,2
2020-03-17,-6,23,,-2,-5,4
2020-03-18,-16,24,,-10,-12,6
2020-03-19,-12,30,,-7,-14,6
2020-03-20,-14,15,,-10,-17,8
2020-03-21,-48,17,22,-12,-20,
2020-03-22,-55,-4,22,-17,-21,
2020-03-23,-40,-3,,-29,-33,13
2020-03-24,-70,-22,,-47,-47,19
2020-03-25,-72,-26,,-42,-54,20
2020-03-26,-75,-27,,-45,-57,21
2020-03-27,-78,-29,-20,-51,-59,23
2020-03-28,-84,-37,-54,-60,-54,
2020-03-29,-88,-44,-63,-62,-50,
2020-03-30,-74,-29,,-49,-62,22
2020-03-31,-75,-28,,-51,-62,22
2020-04-01,-78,-30,-21,-47,-62,22
2020-04-02,-77,-31,,-52,-62,23
2020-04-03,-77,-29,-22,-47,-62,25
2020-04-04,-82,-36,-37,-51,-54,
2020-04-05,-84,-39,-39,-48,-50,
2020-04-06,-75,-30,,-46,-62,22
2020-04-07,-71,-27,,-44,-62,22
2020-04-08,-72,-26,,-41,-62,22
2020-04-09,-72,-17,,-44,-62,22
2020-04-10,-79,-34,-13,-48,-75,
2020-04-11,-81,-32,-35,-46,-51,
2020-04-12,-92,-65,-45,-52,-52,
2020-04-13,-80,-38,-26,-63,-79,
2020-04-14,-69,-21,,-37,-61,22
2020-04-15,-71,-24,,-40,-61,22
2020-04-16,-72,-24,,-40,-60,22
2020-04-17,-75,-27,-11,-38,-61,24
2020-04-18,-77,-29,-30,-42,-49,
2020-04-19,-80,-33,-17,-38,-42,
2020-04-20,-64,-26,,-38,-58,21
2020-04-21,-67,-21,,-40,-57,21
2020-04-22,-68,-22,,-36,-57,21
2020-04-23,-68,-24,,-36,-58,21
2020-04-24,-70,-21,,-39,-57,22
2020-04-25,-76,-26,-5,-40,-43,
2020-04-26,-78,-31,-22,-42,-40,
2020-04-27,-66,-22,,-36,-56,20
2020-04-28,-64,-22,,-40,-57,19
2020-04-29,-69,-24,-10,-39,-57,21
2020-04-30,-69,-18,,-40,-57,21
2020-05-01,-71,-23,-3,-36,-56,22
2020-05-02,-76,-22,-1,-38,-41,
2020-05-03,-78,-32,-32,-43,-39,
2020-05-04,-64,-22,,-32,-53,19
2020-05-05,-64,-19,,-38,-55,20
2020-05-06,-67,-18,,-31,-54,20
2020-05-07,-63,-6,,-32,-55,19
2020-05-08,-76,-27,,-47,-71,
2020-05-09,-75,-24,3,-38,-41,
2020-05-10,-82,-33,-57,-53,-39,
2020-05-11,-64,-21,,-36,-52,20
2020-05-12,-59,-16,,-35,-52,19
2020-05-13,-63,-15,,-30,-52,19
2020-05-14,-63,-14,,-23,-50,17
2020-05-15,-66,-19,,-21,-50,20
2020-05-16,-71,-20,29,-22,-38,
2020-05-17,-74,-22,10,-25,-32,
2020-05-18,-57,-18,,-24,-48,18
2020-05-19,-58,-11,,-26,-48,18
2020-05-20,-56,-9,,-12,-49,17
2020-05-21,-58,-11,,-22,-50,18
2020-05-22,-63,-14,,-26,-50,20
2020-05-23,-68,-19,-2,-32,-36,
2020-05-24,-69,-20,25,-18,-30,
2020-05-25,-57,-19,,-21,-70,21
2020-05-26,-49,-6,,-16,-48,16
2020-05-27,-52,-10,,-14,-47,16
2020-05-28,-53,-8,,-14,-47,16
2020-05-29,-56,-9,,-9,-46,17
2020-05-30,-63,-9,80,-9,-27,
2020-05-31,-63,-12,81,0,-22,
2020-06-01,-43,-11,,-11,-42,14
2020-06-02,-46,-7,,-13,-42,14
2020-06-03,-58,-18,-20,-38,-45,18
2020-06-04,-55,-10,,-24,-43,16
2020-06-05,-60,-16,,-26,-43,18
2020-06-06,-69,-20,-26,-45,-32,
2020-06-07,-75,-23,-29,-47,-28,
2020-06-08,-49,-14,,-18,-41,15
2020-06-09,-50,-11,,-24,-40,15
2020-06-10,-58,-14,,-36,-42,17
2020-06-11,-59,-17,,-38,-42,16
2020-06-12,-64,-20,-27,-39,-43,19
