2020-02-15,-11,-5,-25,-18,-1,3
2020-02-16,-11,-6,16,-14,2,
2020-02-17,13,0,,-4,-15,3
2020-02-18,11,1,,-1,-14,3
2020-02-19,6,-2,,-8,-15,3
2020-02-20,10,1,,-7,-15,3
2020-02-21,8,3,,-4,-15,2
2020-02-22,-1,-3,-5,7,1,1
2020-02-23,-1,0,30,6,1,
2020-02-24,-6,-2,,-5,-3,2
2020-02-25,-1,6,,-2,1,1
2020-02-26,2,2,,1,0,1
2020-02-27,7,4,,1,2,0
2020-02-28,-14,1,-6,-2,-3,3
2020-02-29,5,6,-11,-16,1,2
2020-03-01,9,6,30,7,5,
2020-03-02,9,6,,-1,1,0
2020-03-03,9,8,,6,2,0
2020-03-04,-3,5,-7,-6,1,1
2020-03-05,4,6,,-3,1,0
2020-03-06,3,8,,-1,1,0
2020-03-07,1,1,33,-3,2,1
2020-03-08,8,3,67,9,1,
2020-03-09,2,2,,-3,-2,1
2020-03-10,-3,4,,-2,-1,2
2020-03-11,2,8,,-4,-1,1
2020-03-12,3,17,,-6,-2,2
2020-03-13,3,13,,-2,-2,1
2020-03-14,2,12,45,-11,-2,3
2020-03-15,-4,9,51,-5,2,
2020-03-16,9,18,,-9,-6,3
2020-03-17,-11,20,,-18,-12,7
2020-03-18,-15,21,,-28,-18,9
2020-03-19,-15,22,,-30,-21,10
2020-03-20,-20,10,,-28,-25,11
2020-03-21,-37,12,75,-35,-22,
2020-03-22,-52,-11,79,-5,-23,
2020-03-23,-38,-8,,-37,-39,15
2020-03-24,-67,-23,,-56,-53,21
2020-03-25,-71,-28,-4,-59,-59,24
2020-03-26,-71,-30,,-58,-61,24
2020-03-27,-75,-31,-17,-61,-62,25
2020-03-28,-81,-40,-61,-66,-54,
2020-03-29,-85,-43,-48,-59,-50,
2020-03-30,-71,-36,,-65,-65,24
2020-03-31,-70,-29,,-62,-65,24
2020-04-01,-72,-34,-33,-65,-66,26
2020-04-02,-72,-31,,-64,-66,26
2020-04-03,-73,-30,-13,-62,-65,26
2020-04-04,-78,-35,-49,-62,-52,
2020-04-05,-81,-42,-43,-58,-51,
2020-04-06,-69,-31,,-61,-65,25
2020-04-07,-76,-20,,-57,-67,25
2020-04-08,-76,-19,-11,-57,-67,25
2020-04-09,-72,-8,,-56,-67,25
2020-04-10,-80,-27,-23,-66,-79,
2020-04-11,-83,-21,-43,-61,-56,
2020-04-12,-93,-67,-34,-51,-57,
2020-04-13,-80,-36,,-71,-83,
2020-04-14,-73,-16,,-57,-66,24
2020-04-15,-75,-18,-7,-56,-65,25
2020-04-16,-73,-20,,-57,-65,25
2020-04-17,-78,-25,-55,-68,-66,27
2020-04-18,-83,-30,-48,-68,-50,
2020-04-19,-83,-36,-16,-56,-45,
2020-04-20,-73,-26,,-58,-63,23
2020-04-21,-72,-23,,-56,-62,24
2020-04-22,-74,-21,-3,-57,-62,24
2020-04-23,-74,-23,,-58,-62,24
2020-04-24,-75,-24,1,-56,-62,25
2020-04-25,-80,-26,-27,-61,-45,
2020-04-26,-82,-34,-23,-51,-41,
2020-04-27,-73,-29,,-59,-61,23
2020-04-28,-76,-27,,-68,-62,23
2020-04-29,-74,-26,-29,-62,-62,25
2020-04-30,-75,-24,,-61,-62,25
2020-05-01,-75,-24,-20,-57,-60,25
2020-05-02,-79,-23,-25,-58,-41,
2020-05-03,-83,-35,-42,-61,-40,
2020-05-04,-68,-23,,-51,-59,22
2020-05-05,-69,-24,,-57,-59,23
2020-05-06,-70,-18,,-51,-58,23
2020-05-07,-67,-8,,-49,-59,22
