2020-02-15,-17,-6,-52,-17,-5,3
2020-02-16,-12,-4,-37,-13,-3,2
2020-02-17,1,3,,-4,-15,3
2020-02-18,-2,-1,,-6,-13,3
2020-02-19,7,-1,-11,-4,-14,3
2020-02-20,1,1,-11,-8,-15,3
2020-02-21,1,1,4,-3,-16,3
2020-02-22,1,-3,-17,11,-4,0
2020-02-23,0,-1,-2,8,-3,0
2020-02-24,-5,2,-9,-4,0,1
2020-02-25,-5,7,,0,1,1
2020-02-26,2,0,,0,-1,1
2020-02-27,4,7,,-4,0,0
2020-02-28,-7,1,-11,3,-3,2
2020-02-29,5,5,-20,-12,-1,1
2020-03-01,8,1,14,5,0,0
2020-03-02,5,7,,0,-1,0
2020-03-03,3,4,,5,0,0
2020-03-04,1,5,,11,1,0
2020-03-05,1,7,6,-6,2,1
2020-03-06,3,6,8,2,0,0
2020-03-07,2,3,-8,-3,1,0
2020-03-08,3,2,4,24,1,0
2020-03-09,-2,4,,-2,-1,1
2020-03-10,-4,6,,-1,0,2
2020-03-11,0,7,,-1,0,1
2020-03-12,-3,12,-2,-13,-1,2
2020-03-13,-3,11,0,-5,-4,2
2020-03-14,-11,7,-3,-20,-4,3
2020-03-15,-11,4,-16,-8,-2,2
2020-03-16,-4,19,,-16,-7,3
2020-03-17,-18,18,-12,-31,-14,7
2020-03-18,-24,18,-24,-39,-23,11
2020-03-19,-25,19,-19,-44,-27,12
2020-03-20,-31,4,-15,-44,-30,13
2020-03-21,-44,3,22,-42,-23,10
2020-03-22,-53,-16,14,-36,-27,
2020-03-23,-43,-11,,-52,-45,16
2020-03-24,-71,-27,-16,-64,-55,22
2020-03-25,-74,-28,-17,-64,-60,25
2020-03-26,-74,-29,-21,-71,-63,25
2020-03-27,-76,-33,-30,-72,-64,26
2020-03-28,-83,-40,-57,-73,-53,
2020-03-29,-83,-47,-49,-66,-52,
2020-03-30,-74,-34,-40,-71,-66,25
2020-03-31,-74,-31,-28,-70,-65,25
2020-04-01,-75,-33,-37,-72,-67,26
2020-04-02,-74,-30,-30,-72,-66,27
2020-04-03,-74,-30,-30,-69,-65,26
2020-04-04,-79,-35,-30,-70,-54,
2020-04-05,-79,-43,-33,-65,-48,
2020-04-06,-70,-32,-26,-69,-65,24
2020-04-07,-72,-30,-14,-66,-66,25
2020-04-08,-73,-30,-17,-68,-66,26
2020-04-09,-68,-19,-19,-69,-66,25
2020-04-10,-77,-32,-38,-73,-77,29
2020-04-11,-78,-31,-38,-66,-55,
2020-04-12,-89,-67,-32,-62,-53,
2020-04-13,-79,-41,-35,-77,-79,29
2020-04-14,-70,-27,-7,-65,-64,25
2020-04-15,-69,-26,-15,-67,-64,25
2020-04-16,-70,-27,-13,-68,-64,26
2020-04-17,-76,-33,-53,-74,-65,27
2020-04-18,-81,-39,-55,-72,-49,
2020-04-19,-79,-42,-13,-61,-44,
2020-04-20,-70,-31,-13,-64,-63,23
2020-04-21,-72,-31,-10,-62,-62,24
2020-04-22,-72,-29,-12,-63,-62,25
2020-04-23,-71,-26,-18,-67,-62,25
2020-04-24,-71,-27,-17,-64,-61,25
2020-04-25,-76,-32,-20,-59,-48,
2020-04-26,-75,-37,-9,-60,-44,
2020-04-27,-68,-30,-22,-64,-61,23
2020-04-28,-74,-37,-53,-69,-62,24
2020-04-29,-72,-30,-32,-68,-61,25
2020-04-30,-72,-27,-43,-70,-61,26
2020-05-01,-73,-27,-31,-64,-60,25
2020-05-02,-76,-29,-20,-59,-43,
