2020-02-15,-10,-3,,-17,0,
2020-02-16,2,-4,,-1,4,
2020-02-17,3,2,,-1,2,1
2020-02-18,1,6,,-5,2,1
2020-02-19,2,5,,-6,3,0
2020-02-20,3,3,,-1,2,1
2020-02-21,-7,-1,,-8,-2,2
2020-02-22,-8,1,,-5,-1,
2020-02-23,3,-4,,9,3,
2020-02-24,-1,5,,1,1,1
2020-02-25,0,6,,2,1,0
2020-02-26,2,1,,-1,2,1
2020-02-27,4,1,,5,1,0
2020-02-28,5,3,,-4,1,0
2020-02-29,8,-1,,-1,5,
2020-03-01,8,-3,,0,5,
2020-03-02,6,5,,1,1,0
2020-03-03,3,10,,2,1,0
2020-03-04,8,14,,1,3,0
2020-03-05,4,10,,1,1,0
2020-03-06,4,4,,1,2,0
2020-03-07,-2,0,,-2,1,
2020-03-08,8,-1,,6,4,
2020-03-09,0,2,,0,1,1
2020-03-10,1,2,,-5,-1,2
2020-03-11,-1,5,,-5,0,2
2020-03-12,2,8,,-5,-2,1
2020-03-13,3,15,,-3,-3,2
2020-03-14,-1,12,,-11,-1,
2020-03-15,7,8,,0,-3,
2020-03-16,0,17,,-9,-8,4
2020-03-17,-8,16,,-23,-11,6
2020-03-18,-9,20,,-31,-16,9
2020-03-19,-2,23,,-24,-21,9
2020-03-20,-11,7,,-28,-24,10
2020-03-21,-32,9,,-28,-23,
2020-03-22,-34,-15,,-17,-23,
2020-03-23,-35,-11,,-45,-43,15
2020-03-24,-64,-23,,-62,-59,23
2020-03-25,-68,-26,,-65,-66,
2020-03-26,-68,-27,,-66,-68,
2020-03-27,-70,-29,,-66,-69,
2020-03-28,-76,-33,,-62,-57,
2020-03-29,-75,-43,,-54,-51,
2020-03-30,-66,-29,,-64,-70,
2020-03-31,-67,-23,,-62,-70,
2020-04-01,-67,-22,,-68,-69,
2020-04-02,-68,-25,,-65,-70,
2020-04-03,-69,-27,,-66,-70,
2020-04-04,-74,-29,,-58,-58,
2020-04-05,-73,-36,,-48,-50,
2020-04-06,-65,-26,,-59,-70,
2020-04-07,-66,-22,,-62,-70,
2020-04-08,-67,-21,,-62,-68,
2020-04-09,-62,-18,,-62,-71,
2020-04-10,-66,-24,,-62,-75,
2020-04-11,-72,-25,,-55,-57,
2020-04-12,-76,-36,,-46,-51,
2020-04-13,-69,-35,,-60,-80,
2020-04-14,-62,-20,,-62,-69,
2020-04-15,-64,-20,,-57,-68,
2020-04-16,-66,-21,,-58,-69,
2020-04-17,-65,-23,,-59,-67,
2020-04-18,-72,-27,,-53,-53,
2020-04-19,-68,-33,,-43,-45,
2020-04-20,-62,-26,,-52,-67,
2020-04-21,-63,-24,,-58,-67,
2020-04-22,-64,-23,,-57,-66,
2020-04-23,-62,-22,,-56,-67,
2020-04-24,-64,-21,,-54,-67,
2020-04-25,-70,-22,,-48,-51,
2020-04-26,-64,-32,,-41,-47,
2020-04-27,-57,-24,,-51,-67,
2020-04-28,-61,-23,,-56,-66,
2020-04-29,-65,-25,,-62,-66,
2020-04-30,-64,-24,,-57,-66,
2020-05-01,-64,-24,,-52,-65,
2020-05-02,-69,-21,,-49,-48,
