2020-02-15,-8,-6,-35,-9,-4,2
2020-02-16,-5,-6,-31,-21,-1,
2020-02-17,6,-4,-1,-9,-14,2
2020-02-18,5,-3,3,-2,-15,3
2020-02-19,0,-7,0,-7,-16,2
2020-02-20,2,-6,-7,-5,-17,3
2020-02-21,2,-5,-9,-2,-15,3
2020-02-22,-1,-1,-15,-1,-3,1
2020-02-23,6,-1,-1,-1,-2,
2020-02-24,-2,-3,-20,-5,-1,1
2020-02-25,2,3,-4,1,1,1
2020-02-26,0,-1,3,2,0,0
2020-02-27,3,1,3,4,-1,1
2020-02-28,2,-2,-14,-2,-1,1
2020-02-29,5,1,-15,5,0,0
2020-03-01,9,-2,9,-5,3,
2020-03-02,6,-1,9,5,1,0
2020-03-03,3,-2,0,2,1,1
2020-03-04,3,3,8,4,0,0
2020-03-05,3,1,5,6,0,0
2020-03-06,6,2,20,3,1,0
2020-03-07,5,2,18,15,1,0
2020-03-08,8,1,15,0,5,-1
2020-03-09,1,0,6,-4,2,0
2020-03-10,4,3,3,2,1,1
2020-03-11,4,2,3,3,1,0
2020-03-12,3,6,-4,3,-1,1
2020-03-13,1,7,4,0,0,1
2020-03-14,-2,7,-13,-3,-2,1
2020-03-15,-1,9,-3,-16,2,
2020-03-16,6,19,6,-2,-2,1
2020-03-17,-1,24,7,-2,-5,4
2020-03-18,-8,24,-17,-14,-11,6
2020-03-19,-4,29,4,-6,-16,6
2020-03-20,-12,16,5,-11,-15,7
2020-03-21,-35,13,2,-10,-15,7
2020-03-22,-45,-1,26,-3,-19,
2020-03-23,-33,0,-3,-23,-30,11
2020-03-24,-61,-21,-20,-38,-45,18
2020-03-25,-63,-24,-18,-39,-51,20
2020-03-26,-64,-24,-11,-40,-55,21
2020-03-27,-66,-28,-22,-47,-54,23
2020-03-28,-75,-35,-56,-55,-50,
2020-03-29,-79,-41,-56,-58,-46,
2020-03-30,-64,-29,-36,-52,-57,20
2020-03-31,-64,-28,-26,-45,-58,22
2020-04-01,-65,-29,-34,-54,-57,22
2020-04-02,-65,-27,-30,-46,-58,22
2020-04-03,-66,-30,-32,-50,-58,23
2020-04-04,-72,-29,-34,-47,-50,
2020-04-05,-74,-37,-30,-45,-46,
2020-04-06,-62,-26,-26,-48,-57,20
2020-04-07,-63,-24,-9,-42,-58,21
2020-04-08,-61,-24,-17,-43,-58,21
2020-04-09,-58,-16,-33,-45,-59,21
2020-04-10,-68,-30,-32,-55,-74,28
2020-04-11,-71,-25,-39,-42,-51,
2020-04-12,-90,-61,-35,-48,-53,
2020-04-13,-71,-41,-39,-67,-79,
2020-04-14,-58,-19,-12,-38,-59,21
2020-04-15,-61,-22,-21,-42,-58,21
2020-04-16,-60,-23,-14,-42,-58,22
2020-04-17,-63,-25,-24,-44,-57,23
2020-04-18,-72,-31,-43,-48,-46,
2020-04-19,-72,-34,-9,-42,-40,
2020-04-20,-61,-26,-15,-43,-54,20
2020-04-21,-61,-23,-8,-42,-55,21
2020-04-22,-62,-24,-13,-38,-55,20
2020-04-23,-62,-23,-9,-40,-55,21
2020-04-24,-63,-23,-11,-41,-54,22
2020-04-25,-68,-25,-21,-34,-42,
2020-04-26,-69,-32,-21,-41,-37,
2020-04-27,-59,-26,-18,-40,-53,19
2020-04-28,-60,-25,-31,-43,-54,19
2020-04-29,-63,-26,-34,-46,-54,21
2020-04-30,-62,-21,-23,-40,-54,21
2020-05-01,-65,-24,-17,-41,-52,22
2020-05-02,-68,-27,-15,-31,-42,
2020-05-03,-70,-29,-17,-40,-37,
2020-05-04,-58,-24,-9,-35,-51,19
2020-05-05,-59,-22,2,-35,-52,20
2020-05-06,-59,-18,3,-29,-50,19
2020-05-07,-52,-9,5,-30,-52,19
