2020-02-15,-10,-8,-32,-6,-4,2
2020-02-16,-10,-9,-38,-7,-4,1
2020-02-17,14,0,22,2,-17,2
2020-02-18,7,-3,15,1,-15,2
2020-02-19,9,-4,10,2,-15,2
2020-02-20,8,-5,-5,2,-16,3
2020-02-21,9,-2,15,3,-17,3
2020-02-22,-3,-5,6,8,-3,0
2020-02-23,-2,-5,-7,12,-2,0
2020-02-24,0,-2,-11,-2,-1,1
2020-02-25,0,4,0,-1,1,0
2020-02-26,1,-2,5,0,1,0
2020-02-27,3,-2,-3,2,-1,1
2020-02-28,0,-3,-15,3,-1,1
2020-02-29,2,-2,-12,-1,-1,1
2020-03-01,7,-1,19,10,0,-1
2020-03-02,7,2,12,0,0,0
2020-03-03,2,0,7,-2,1,0
2020-03-04,2,1,3,0,1,1
2020-03-05,2,1,-12,-1,0,1
2020-03-06,7,3,18,3,0,0
2020-03-07,-1,-1,16,9,2,0
2020-03-08,7,2,80,17,1,-1
2020-03-09,2,2,-2,-1,0,1
2020-03-10,0,6,3,-5,0,1
2020-03-11,2,4,18,-4,-1,2
2020-03-12,2,10,3,-7,-2,2
2020-03-13,-1,9,8,-9,-6,3
2020-03-14,-12,4,7,-16,-4,3
2020-03-15,-18,2,-20,-18,-6,3
2020-03-16,-4,19,18,-19,-12,5
2020-03-17,-19,23,7,-30,-20,9
2020-03-18,-27,22,-11,-38,-29,13
2020-03-19,-25,23,-6,-40,-34,15
2020-03-20,-34,12,0,-45,-36,16
2020-03-21,-56,-1,13,-51,-27,11
2020-03-22,-62,-15,11,-53,-30,9
2020-03-23,-48,-7,3,-56,-51,20
2020-03-24,-73,-22,-11,-65,-61,26
2020-03-25,-75,-25,-7,-71,-66,28
2020-03-26,-76,-28,-8,-72,-69,29
2020-03-27,-78,-29,-19,-74,-69,30
2020-03-28,-86,-42,-52,-78,-55,20
2020-03-29,-87,-48,-51,-79,-54,16
2020-03-30,-76,-33,-35,-75,-71,28
2020-03-31,-76,-29,-10,-74,-71,29
2020-04-01,-79,-33,-29,-75,-71,30
2020-04-02,-77,-32,-21,-75,-72,30
2020-04-03,-79,-30,-19,-77,-70,30
2020-04-04,-84,-38,-30,-76,-54,19
2020-04-05,-84,-41,-21,-76,-53,15
2020-04-06,-75,-32,-22,-75,-72,29
2020-04-07,-76,-29,-3,-73,-72,29
2020-04-08,-76,-26,-5,-73,-72,29
2020-04-09,-72,-19,-10,-72,-72,29
2020-04-10,-80,-34,-13,-81,-83,34
2020-04-11,-83,-34,-32,-76,-57,19
2020-04-12,-91,-66,-32,-78,-58,16
2020-04-13,-82,-45,-36,-84,-86,34
2020-04-14,-74,-26,-6,-72,-71,29
2020-04-15,-76,-28,2,-72,-71,29
2020-04-16,-75,-29,0,-72,-71,30
2020-04-17,-77,-29,-17,-74,-70,30
2020-04-18,-85,-40,-43,-77,-51,19
2020-04-19,-84,-42,-9,-73,-49,15
2020-04-20,-75,-32,-3,-73,-69,28
2020-04-21,-77,-29,6,-72,-70,29
2020-04-22,-77,-29,10,-72,-69,29
2020-04-23,-76,-29,6,-71,-69,29
2020-04-24,-77,-28,3,-73,-68,29
2020-04-25,-82,-36,-19,-72,-50,18
2020-04-26,-82,-38,0,-70,-48,14
2020-04-27,-74,-32,-5,-71,-68,27
2020-04-28,-80,-37,-48,-76,-69,28
2020-04-29,-78,-31,-27,-73,-69,29
2020-04-30,-79,-32,-35,-73,-69,30
2020-05-01,-78,-28,-13,-73,-67,29
2020-05-02,-82,-33,-12,-71,-47,17
2020-05-03,-84,-40,-26,-73,-47,15
2020-05-04,-74,-30,-2,-71,-67,27
2020-05-05,-75,-27,10,-68,-67,27
2020-05-06,-76,-24,22,-69,-67,27
2020-05-07,-71,-16,20,-68,-67,27
