2020-02-15,-4,-6,-25,5,-5,3
2020-02-16,-6,-8,-15,3,-2,
2020-02-17,14,4,,10,-11,2
2020-02-18,9,0,,16,-7,1
2020-02-19,5,-1,-16,18,-11,2
2020-02-20,13,3,,25,-16,2
2020-02-21,4,-2,-11,-3,-17,3
2020-02-22,2,0,-5,2,1,0
2020-02-23,0,0,21,11,2,
2020-02-24,2,4,,12,0,-1
2020-02-25,-4,1,,4,4,0
2020-02-26,-5,-1,,7,-1,1
2020-02-27,4,3,,5,1,-1
2020-02-28,5,6,4,3,1,0
2020-02-29,-12,-9,-28,-8,-3,5
2020-03-01,25,4,0,18,-1,
2020-03-02,6,3,,9,2,-1
2020-03-03,9,5,,2,4,-2
2020-03-04,7,3,,0,1,-1
2020-03-05,4,7,,0,2,0
2020-03-06,6,6,,-2,2,-1
2020-03-07,0,3,-17,9,0,1
2020-03-08,8,3,12,10,2,
2020-03-09,0,5,,-1,1,0
2020-03-10,2,13,,4,5,0
2020-03-11,-4,10,-7,0,1,1
2020-03-12,-5,30,,0,0,2
2020-03-13,-14,8,,-26,-17,8
2020-03-14,-24,5,2,-27,-8,8
2020-03-15,-29,16,,-34,-18,
2020-03-16,-24,24,,-29,-42,14
2020-03-17,-71,-31,,-51,-76,
2020-03-18,-43,-9,,-22,-39,15
2020-03-19,-51,-11,,-37,-41,18
2020-03-20,-55,-11,,-58,-42,20
2020-03-21,-63,-4,-27,-58,-36,
2020-03-22,-60,-14,,-61,-37,
2020-03-23,-48,-17,,-50,-42,16
2020-03-24,-49,-12,,-42,-42,17
2020-03-25,-60,-22,-21,-55,-46,20
2020-03-26,-62,-21,,-52,-47,20
2020-03-27,-63,-20,,-62,-46,22
2020-03-28,-82,-30,-45,-70,-45,
2020-03-29,-85,-44,-31,-78,-47,
2020-03-30,-73,-32,,-68,-57,23
2020-03-31,-77,-30,,-60,-59,23
2020-04-01,-78,-30,-26,-60,-60,26
2020-04-02,-77,-27,-29,-63,-60,28
