2020-02-15,-1,2,,,0,
2020-02-16,-2,-10,,,,
2020-02-17,2,8,,,-7,
2020-02-18,5,-2,,,-6,
2020-02-19,0,1,,,-10,
2020-02-20,8,3,,,-19,
2020-02-21,3,-3,,,-19,
2020-02-22,2,8,,,-2,
2020-02-23,12,-9,,,,
2020-02-24,-9,5,,,5,
2020-02-25,-9,5,,,6,
2020-02-26,-4,0,,,3,
2020-02-27,-1,5,,,-1,
2020-02-28,3,3,,,1,
2020-02-29,-7,-1,,,4,
2020-03-01,-6,-3,,,,
2020-03-02,-3,7,,,4,
2020-03-03,6,8,,,6,
2020-03-04,7,9,,,3,
2020-03-05,3,9,,,3,
2020-03-06,9,5,,,3,
2020-03-07,6,10,,,-2,
2020-03-08,17,4,,,,
2020-03-09,-12,2,,,-1,
2020-03-10,1,11,,,5,
2020-03-11,-6,14,,,2,
2020-03-12,-12,34,,,-1,
2020-03-13,-16,16,,,-20,
2020-03-14,-24,10,,,-11,
2020-03-15,-34,15,,,,
2020-03-16,-42,34,,,-48,
2020-03-17,-77,-23,,,-79,
2020-03-18,-54,-5,,,-41,
2020-03-19,-54,-7,,,-42,
2020-03-20,-65,-7,,,-39,
2020-03-21,-62,0,,,-34,
2020-03-22,-62,-10,,,-37,
2020-03-23,-59,-16,,,-43,
2020-03-24,-54,2,,,-46,
2020-03-25,-69,-14,,,-48,
2020-03-26,-64,-14,,,-49,
2020-03-27,-67,-17,,,-50,
2020-03-28,-88,-30,,,-51,
2020-03-29,-93,-41,,,-50,
2020-03-30,-85,-23,,,-60,
2020-03-31,-93,-28,,,-61,
2020-04-01,-87,-22,,,-63,
2020-04-02,-85,-27,,,-65,
2020-04-03,-85,-30,,,-65,
2020-04-04,-87,-33,,,-53,
2020-04-05,-92,-39,-59,,-50,
2020-04-06,,,,,-60,
2020-04-07,,,,,-62,
2020-04-08,,,,,-62,
2020-04-09,,,,,-61,
2020-04-10,,-28,,,-70,
2020-04-11,,,,,-49,
2020-04-12,,,-61,,-49,
2020-04-13,,,,,-82,
2020-04-14,,,,,-59,
2020-04-15,,,,,-62,
2020-04-16,,,,,-61,
2020-04-17,,-16,,,-60,
2020-04-18,,-23,,,-46,
2020-04-19,,,,,-39,
2020-04-20,,,,,-57,
2020-04-21,,,,,-58,
2020-04-22,,,,,-59,
2020-04-23,,,,,-61,
2020-04-24,,-14,,,-59,
2020-04-25,,,,,-42,
2020-04-26,,,,,-38,
2020-04-27,,,,,-58,
2020-04-28,,,,,-60,
2020-04-29,,,,,-61,
2020-04-30,,,,,-58,
2020-05-01,,-17,,,-59,
2020-05-02,,,,,-37,
2020-05-03,,,,,-34,
2020-05-04,,,,,-79,
2020-05-05,,,,,-53,
2020-05-06,,,,,-56,
2020-05-07,,,,,-55,
2020-05-08,,-7,,,-54,
2020-05-09,,,,,-34,
2020-05-10,,,-48,,-34,
2020-05-11,,,,,-52,
2020-05-12,,,,,-52,
2020-05-13,,,,,-52,
2020-05-14,,,,,-53,
2020-05-15,-83,-10,,,-52,
2020-05-16,-86,-6,,,-36,
2020-05-17,,,-65,,-31,
2020-05-18,,,,,-49,
2020-05-19,,,,,-46,
2020-05-20,,7,,,-47,
2020-05-21,,,,,-47,
2020-05-22,,-7,,,-47,
2020-05-23,-86,,,,-23,
2020-05-24,,,-45,,,
2020-05-25,,,,,-45,
2020-05-26,,,,,-45,
2020-05-27,,12,,,-44,
2020-05-28,-71,,,,-45,
2020-05-29,-76,8,,,-45,
2020-05-30,-80,,,,-21,
2020-06-01,,,,,-74,
2020-06-02,,,,,-42,
2020-06-03,,11,,,-43,
2020-06-04,,,,,-42,
2020-06-05,,-6,,,-41,
2020-06-06,-68,-1,,,-24,
2020-06-07,,,-54,,,
2020-06-08,,,,,-40,
2020-06-09,,,,,-38,
2020-06-10,,6,,,-40,
2020-06-11,-53,,,,-38,
2020-06-12,-60,-1,,,-39,
2020-06-13,-61,,,,-15,
2020-06-14,-60,,,,,
2020-06-15,,,,,-38,
2020-06-16,,,,,-35,
2020-06-17,,7,,,-40,
2020-06-18,-45,,,,-38,
2020-06-19,-56,6,,,-42,
2020-06-20,-56,,,,-15,
2020-06-21,-59,,,,,
2020-06-22,,,,,-40,
2020-06-23,,,,,-38,
2020-06-24,,6,,,-36,
2020-06-25,-44,,,,-37,
2020-06-26,-50,1,,,-38,
2020-06-27,-58,,,,-14,
2020-06-28,-64,,-62,,,
2020-06-29,,,,,-37,
2020-06-30,,,,,-34,
2020-07-01,,11,,,-38,
2020-07-02,,,,,-39,
2020-07-03,-31,10,,,-36,
2020-07-04,-31,,,,-2,
2020-07-06,,,,,-37,
2020-07-07,,,,,-35,
2020-07-08,,8,,,-35,
2020-07-09,,,,,-34,
2020-07-10,-22,14,,,-32,
2020-07-11,-22,,,,0,
2020-07-12,-20,,,,,
2020-07-13,,,,,-33,
2020-07-14,,,,,-33,
2020-07-15,,22,,,-34,
2020-07-16,,,,,-33,
2020-07-17,-23,17,,,-33,
2020-07-18,-22,,,,3,
2020-07-20,,,,,-35,
2020-07-21,,,,,-35,
2020-07-22,,18,,,-35,
2020-07-23,,,,,-33,
2020-07-24,-19,15,,,-35,
2020-07-25,-15,,,,-3,
2020-07-27,,,,,-37,
2020-07-28,,,,,-34,
2020-07-29,,25,,,-37,
2020-07-30,,,,,-36,
2020-07-31,-7,22,,,-39,
2020-08-01,-1,,,,-6,
2020-08-03,,,,,-71,
2020-08-04,,,,,-40,
2020-08-05,,28,,,-41,
2020-08-06,,,,,-41,
2020-08-07,-8,17,,,-38,
2020-08-08,-6,,,,1,
2020-08-10,,,,,-39,
2020-08-11,,,,,-35,
2020-08-12,,26,,,-37,
2020-08-13,,,,,-34,
2020-08-14,5,20,,,-33,
2020-08-15,8,,,,4,
2020-08-17,,,,,-36,
2020-08-18,,,,,-33,
2020-08-19,,18,,,-35,
2020-08-20,,,,,-34,
2020-08-21,-5,16,,,-33,
2020-08-22,-8,,,,1,
