2020-02-15,8,0,3,9,-1,0
2020-02-16,-5,-10,-22,14,-3,1
2020-02-17,2,-1,2,3,1,0
2020-02-18,4,3,12,0,2,0
2020-02-19,6,-1,12,-2,1,0
2020-02-20,0,-2,-4,-1,0,1
2020-02-21,8,-1,6,6,-4,0
2020-02-22,4,-6,-23,11,-3,0
2020-02-23,4,-17,-37,3,-4,0
2020-02-24,0,-13,-23,-12,-22,3
2020-02-25,13,3,9,-9,-20,2
2020-02-26,6,-8,-12,-9,-20,2
2020-02-27,-5,-7,-17,-12,-21,3
2020-02-28,2,-6,-1,-4,-21,2
2020-02-29,0,-3,-22,3,-4,0
2020-03-01,9,-2,11,5,-1,-1
2020-03-02,-5,-7,-16,-1,0,1
2020-03-03,3,5,24,-3,1,0
2020-03-04,9,0,20,-4,2,0
2020-03-05,-9,-3,-7,-7,1,1
2020-03-06,0,2,10,1,2,1
2020-03-07,3,0,31,5,0,0
2020-03-08,4,-5,-9,-1,-1,1
2020-03-09,1,-1,1,-5,0,1
2020-03-10,-4,-2,-5,-7,-1,2
2020-03-11,3,2,21,-11,-2,2
2020-03-12,-11,12,-5,-17,-3,3
2020-03-13,-15,21,-20,-34,-14,8
2020-03-14,-16,8,-4,-37,-7,6
2020-03-15,-26,7,15,-41,-12,5
2020-03-16,-20,16,27,-62,-46,17
2020-03-17,-26,13,47,-67,-52,19
2020-03-18,-31,3,29,-67,-52,18
2020-03-19,-42,1,-1,-73,-55,22
2020-03-20,-45,-3,-11,-68,-52,21
2020-03-21,-45,-7,14,-62,-28,13
2020-03-22,-54,-19,30,-61,-33,10
2020-03-23,-35,-10,-2,-74,-57,21
2020-03-24,-41,-9,16,-76,-60,23
2020-03-25,-42,-17,22,-74,-58,21
2020-03-26,-49,-14,12,-77,-60,24
2020-03-27,-49,-15,23,-72,-56,22
2020-03-28,-53,-18,-9,-68,-33,14
2020-03-29,-60,-32,-17,-70,-36,11
2020-03-30,-42,-23,-19,-76,-60,23
2020-03-31,-40,-13,38,-75,-60,23
2020-04-01,-42,-19,12,-75,-57,21
2020-04-02,-49,-18,-2,-78,-59,25
2020-04-03,-50,-16,0,-74,-55,22
2020-04-04,-50,-16,4,-65,-30,14
2020-04-05,-50,-20,55,-58,-31,9
2020-04-06,-35,-18,29,-73,-58,21
2020-04-07,-34,-9,60,-72,-58,21
2020-04-08,-35,-12,63,-70,-56,19
2020-04-09,-41,-5,43,-73,-58,22
2020-04-10,-41,-6,47,-69,-59,21
2020-04-11,-44,-4,22,-60,-25,12
2020-04-12,-69,-62,50,-59,-31,8
2020-04-13,-56,-49,12,-80,-88,28
2020-04-14,-39,-12,13,-74,-56,21
2020-04-15,-36,-16,49,-70,-53,19
2020-04-16,-43,-12,48,-72,-56,22
2020-04-17,-43,-13,41,-68,-51,20
2020-04-18,-49,-14,-15,-65,-21,13
2020-04-19,-46,-17,79,-53,-20,8
2020-04-20,-32,-15,38,-69,-56,20
2020-04-21,-33,-7,51,-71,-55,20
2020-04-22,-34,-12,65,-67,-52,18
2020-04-23,-39,-7,70,-69,-54,20
2020-04-24,-40,-7,53,-65,-50,18
2020-04-25,-41,-6,7,-58,-18,11
2020-04-26,-39,-5,78,-50,-19,7
2020-04-27,-35,-23,102,-71,-84,23
2020-04-28,-38,-10,-17,-73,-56,19
2020-04-29,-34,-12,16,-68,-53,18
2020-04-30,-41,-9,19,-71,-55,21
2020-05-01,-44,-12,0,-66,-50,19
2020-05-02,-43,-9,-4,-59,-17,12
2020-05-03,-44,-16,57,-51,-14,7
2020-05-04,-20,-10,60,-67,-59,19
2020-05-05,-29,-10,120,-71,-76,23
2020-05-06,-28,-9,70,-64,-48,16
2020-05-07,-35,-5,75,-68,-50,18
