2020-02-15,-6,-5,-14,,14,
2020-02-16,-15,-6,-22,,,
2020-02-17,-12,-6,,,30,
2020-02-18,-4,0,,,20,
2020-02-19,-3,2,,,18,
2020-02-20,-3,-5,-21,,26,
2020-02-21,-2,-7,-6,,21,
2020-02-22,-9,-2,-18,,14,
2020-02-23,-8,-4,-44,,,
2020-02-24,-13,-4,-40,,29,
2020-02-25,-10,-4,-22,,21,
2020-02-26,-4,2,-20,,20,
2020-02-27,-4,-3,-19,,28,
2020-02-28,-4,-1,-12,,23,
2020-02-29,-11,4,-7,,14,
2020-03-01,-12,-5,-22,,,
2020-03-02,-17,-4,,,35,
2020-03-03,-7,-6,,,22,
2020-03-04,-12,-4,-17,,19,
2020-03-05,0,4,-44,,30,
2020-03-06,-2,4,-33,,26,
2020-03-07,-8,-3,-27,,12,
2020-03-08,-8,-5,-12,,,
2020-03-09,-7,-2,,,33,
2020-03-10,-11,-6,,,19,
2020-03-11,-6,0,,,19,
2020-03-12,-4,1,-15,,28,
2020-03-13,-8,3,-6,,23,
2020-03-14,-8,-1,-2,,12,
2020-03-15,-11,-2,-27,,,
2020-03-16,-17,4,,,32,
2020-03-17,-18,9,-51,,15,
2020-03-18,-12,9,-39,,12,
2020-03-19,-10,12,-29,,25,
2020-03-20,-13,7,-27,,21,
2020-03-21,-14,1,-25,,7,
2020-03-22,-23,-8,-37,,,
2020-03-23,-11,28,-48,,17,
2020-03-24,-17,9,-46,,-15,
2020-03-25,-36,4,-49,,-34,
2020-03-26,-100,-55,-81,,-59,
2020-03-27,-97,-44,-83,,-61,
2020-03-28,-100,-51,,,-53,
2020-03-29,-100,-48,-88,,-47,
2020-03-30,-100,-44,,,-64,
2020-03-31,-97,-37,-78,,-65,
2020-04-01,-94,-38,-71,,-64,
2020-04-02,-96,-35,-79,,-61,
2020-04-03,-100,-36,-81,,-62,
2020-04-04,-97,-45,,,-51,
2020-04-05,-100,-42,-83,,-44,
2020-04-06,,,-80,,-59,
2020-04-07,-95,,-76,,-61,
2020-04-08,-92,,-78,,-61,
2020-04-09,-91,,-83,,-59,
2020-04-10,-98,-92,,,-82,
2020-04-11,-96,,-82,,-41,
2020-04-12,,,-83,,-38,
2020-04-13,,,-80,,-77,
2020-04-14,-96,,-83,,-62,
2020-04-15,-93,,-80,,-62,
2020-04-16,-96,,-79,,-57,
2020-04-17,,,-77,,-59,
2020-04-18,-97,,-84,,-41,
2020-04-19,,,-82,,-31,
2020-04-20,,,-79,,-54,
2020-04-21,-95,,-77,,-58,
2020-04-22,-92,,-66,,-56,
2020-04-23,-92,,-78,,-51,
2020-04-24,-93,,-78,,-49,
2020-04-25,-96,-50,-75,,-42,
2020-04-26,,,-78,,-31,
2020-04-27,,,-71,,-76,
2020-04-28,-73,,-60,,-30,
2020-04-29,-72,,-38,,-33,
2020-04-30,-82,,-37,,-28,
2020-05-01,-83,,-35,,-27,
2020-05-02,-90,,-45,,-16,
2020-05-03,,,-56,,-21,
2020-05-04,,,-49,,-25,
2020-05-05,-86,,-44,,-28,
2020-05-06,-87,,-50,,-32,
2020-05-07,-70,,-39,,-23,
2020-05-08,-68,,-36,,-22,
2020-05-09,-70,,-45,,-16,
2020-05-10,,,-62,,-11,
2020-05-11,,,-58,,-20,
