2020-02-15,-1,0,1,-1,-1,0
2020-02-16,-2,2,-46,-5,-1,2
2020-02-17,1,3,3,2,3,0
2020-02-18,-1,3,5,7,3,0
2020-02-19,-2,3,11,4,2,-1
2020-02-20,4,1,17,10,1,-2
2020-02-21,3,4,28,14,1,-2
2020-02-22,-2,2,29,5,0,-2
2020-02-23,6,2,48,11,-1,-4
2020-02-24,29,18,92,19,-31,4
2020-02-25,-5,3,12,-11,-72,19
2020-02-26,-3,2,12,0,-13,4
2020-02-27,0,4,15,7,0,0
2020-02-28,3,8,5,8,0,-1
2020-02-29,-5,5,-22,-8,-1,2
2020-03-01,-9,3,-36,-7,-2,4
2020-03-02,-1,7,-11,1,3,1
2020-03-03,-6,4,-31,-4,1,1
2020-03-04,-5,6,-17,1,2,1
2020-03-05,1,7,-2,6,1,0
2020-03-06,4,9,3,7,1,-1
2020-03-07,2,5,14,-2,0,-1
2020-03-08,-8,7,-45,-10,-2,2
2020-03-09,-1,15,2,-7,0,1
2020-03-10,-4,20,7,-4,-1,2
2020-03-11,-9,29,4,-10,-2,3
2020-03-12,-9,29,3,-11,-4,4
2020-03-13,-25,27,-19,-25,-9,9
2020-03-14,-50,-6,-40,-40,-15,14
2020-03-15,-67,-34,-71,-54,-26,17
2020-03-16,-50,-9,-47,-53,-37,22
2020-03-17,-55,-11,-47,-56,-43,24
2020-03-18,-57,-10,-45,-58,-46,25
2020-03-19,-66,-31,-55,-64,-52,29
2020-03-20,-76,-36,-74,-72,-54,36
2020-03-21,-80,-43,-75,-73,-56,28
2020-03-22,-83,-60,-77,-73,-51,24
2020-03-23,-72,-39,-62,-71,-56,32
2020-03-24,-72,-36,-61,-70,-57,33
2020-03-25,-73,-36,-62,-71,-57,33
2020-03-26,-72,-38,-61,-69,-58,34
2020-03-27,-74,-33,-67,-73,-58,38
2020-03-28,-79,-41,-77,-70,-56,28
2020-03-29,-83,-60,-82,-76,-52,24
2020-03-30,-73,-39,-74,-74,-58,33
2020-03-31,-71,-32,-73,-71,-59,34
2020-04-01,-70,-31,-65,-70,-59,34
2020-04-02,-69,-31,-61,-68,-60,33
2020-04-03,-70,-26,-64,-68,-59,37
2020-04-04,-76,-37,-78,-69,-54,27
2020-04-05,-84,-59,-89,-78,-54,25
2020-04-06,-68,-30,-69,-71,-60,34
2020-04-07,-66,-24,-63,-65,-60,33
2020-04-08,-66,-20,-58,-65,-60,32
2020-04-09,-68,-21,-71,-71,-64,35
2020-04-10,-77,-32,-77,-79,-80,48
2020-04-11,-76,-35,-76,-70,-57,29
2020-04-12,-85,-84,-83,-73,-52,24
2020-04-13,-78,-46,-70,-79,-82,43
2020-04-14,-65,-25,-58,-66,-59,32
2020-04-15,-68,-29,-68,-69,-59,33
2020-04-16,-67,-28,-67,-68,-59,34
2020-04-17,-67,-24,-65,-68,-58,37
2020-04-18,-72,-35,-68,-63,-47,25
2020-04-19,-77,-53,-71,-68,-42,21
2020-04-20,-67,-37,-68,-73,-56,32
2020-04-21,-64,-30,-58,-67,-55,31
2020-04-22,-67,-34,-57,-68,-55,31
2020-04-23,-63,-32,-45,-66,-56,30
2020-04-24,-65,-27,-59,-66,-55,34
2020-04-25,-73,-36,-73,-67,-51,25
2020-04-26,-76,-49,-72,-66,-41,21
2020-04-27,-64,-34,-59,-69,-54,30
2020-04-28,-62,-27,-56,-64,-53,28
2020-04-29,-64,-28,-62,-67,-53,31
2020-04-30,-58,-16,-55,-63,-53,28
2020-05-01,-77,-38,-78,-80,-82,48
2020-05-02,-70,-28,-60,-61,-44,24
2020-05-03,-70,-45,-49,-54,-28,17
2020-05-04,-57,-24,-49,-60,-47,26
2020-05-05,-55,-21,-36,-54,-46,26
2020-05-06,-55,-19,-25,-54,-45,25
2020-05-07,-52,-17,-12,-51,-45,25
