2020-02-15,-6,-3,-16,-3,-5,
2020-02-16,-15,-10,-56,-14,-8,
2020-02-17,-5,-5,,-16,-19,4
2020-02-18,1,-2,,-13,-17,2
2020-02-19,1,-1,,-10,-17,3
2020-02-20,6,-1,,-15,-20,3
2020-02-21,1,-2,,-11,-22,3
2020-02-22,-6,-6,-34,-11,-7,
2020-02-23,5,-4,-4,7,-3,
2020-02-24,0,-1,,2,2,0
2020-02-25,6,11,,1,3,0
2020-02-26,4,1,,-1,3,1
2020-02-27,11,5,,5,2,0
2020-02-28,7,3,,7,2,0
2020-02-29,16,5,-30,9,0,
2020-03-01,9,1,-13,9,-6,
2020-03-02,1,-1,,-5,0,2
2020-03-03,1,2,,0,1,1
2020-03-04,1,0,,-4,2,1
2020-03-05,8,4,,1,2,0
2020-03-06,6,1,,-1,1,1
2020-03-07,14,4,-2,5,1,
2020-03-08,14,-1,-9,4,1,
2020-03-09,-3,-4,,-10,-5,3
2020-03-10,-4,-2,,-4,1,1
2020-03-11,-2,3,,-6,0,1
2020-03-12,-5,4,,-15,-3,3
2020-03-13,-6,7,,-11,-6,4
2020-03-14,-7,9,,2,-7,
2020-03-15,-10,-1,-20,-1,-12,
2020-03-16,-13,2,,-16,-13,6
2020-03-17,-17,0,,-18,-16,7
2020-03-18,-18,-4,,-25,-22,9
2020-03-19,-9,-3,,-21,-23,8
2020-03-20,-12,0,,-26,-22,9
2020-03-21,-9,0,,-10,-12,
2020-03-22,-10,-5,35,-18,-12,
2020-03-23,-14,-7,,-26,-20,8
2020-03-24,-15,-7,,-24,-20,8
2020-03-25,-4,4,,-24,-21,8
2020-03-26,-5,-1,,-22,-23,8
2020-03-27,-7,1,,-27,-23,9
2020-03-28,-8,1,,-3,-11,
2020-03-29,-6,-5,26,-23,-18,
2020-03-30,-10,-6,,-30,-25,9
2020-03-31,-11,-6,,-25,-24,8
2020-04-01,-14,-4,,-30,-25,9
2020-04-02,-11,-4,,-30,-27,10
2020-04-03,-12,-6,,-29,-26,10
2020-04-04,-11,-2,,-14,-16,
2020-04-05,-3,-6,,-7,-17,
2020-04-06,2,1,,-21,-30,9
2020-04-07,3,3,,-17,-29,8
2020-04-08,13,13,,-15,-30,8
2020-04-09,21,22,,-14,-37,8
2020-04-10,-39,-18,,-38,-78,18
2020-04-11,-20,-6,,-16,-17,
2020-04-12,-7,-6,,-13,-20,
2020-04-13,-31,-18,,-49,-80,21
2020-04-14,-7,-5,,-22,-27,8
2020-04-15,-5,-3,,-21,-27,9
2020-04-16,-3,-2,,-18,-27,8
2020-04-17,-5,0,,-22,-27,8
2020-04-18,-5,-2,,-6,-8,
2020-04-19,4,-5,,-5,-12,
2020-04-20,2,0,,-19,-20,6
2020-04-21,0,-5,,-15,-19,6
2020-04-22,1,-4,,-15,-18,6
2020-04-23,3,1,,-12,-22,6
2020-04-24,5,3,,-19,-22,7
2020-04-25,3,4,,-4,-8,
2020-04-26,8,-4,,-7,-7,
2020-04-27,6,-1,,-17,-20,7
2020-04-28,-1,-4,,-17,-18,5
2020-04-29,5,4,,-17,-20,6
2020-04-30,11,14,,-23,-31,8
2020-05-01,-34,-21,,-45,-76,20
2020-05-02,2,1,,-2,-8,
2020-05-03,6,-4,,-3,-7,
2020-05-04,3,-4,,-19,-20,7
2020-05-05,-6,-6,,-21,-18,7
2020-05-06,1,-1,,-13,-18,6
2020-05-07,6,1,,-15,-19,6
2020-05-08,4,1,,-13,-20,6
2020-05-09,7,8,,13,3,
2020-05-10,14,1,,-2,-7,
2020-05-11,-2,-1,,-24,-19,7
2020-05-12,-6,-4,,-20,-17,7
2020-05-13,-3,-3,,-18,-17,7
2020-05-14,0,0,,-22,-19,6
2020-05-15,-3,-2,,-24,-20,8
2020-05-16,-7,1,,-14,-7,
2020-05-17,-1,-6,16,-18,-6,
2020-05-18,-1,-6,,-20,-17,6
2020-05-19,-1,2,,-14,-16,6
2020-05-20,22,20,,-4,-20,4
2020-05-21,-11,2,,-24,-75,16
2020-05-22,14,3,,-12,-54,11
2020-05-23,2,5,,-6,-5,
2020-05-24,7,-5,58,-6,-7,
2020-05-25,11,3,,-16,-20,6
2020-05-26,9,1,,-9,-15,4
2020-05-27,14,5,,-7,-15,4
2020-05-28,18,8,,-9,-17,5
2020-05-29,15,6,,-5,-18,4
2020-05-30,15,13,,27,2,
2020-05-31,36,18,,20,7,
2020-06-01,11,0,,-5,-17,4
2020-06-02,9,1,,-5,-17,4
2020-06-03,11,1,,-1,-15,4
2020-06-04,16,5,,-8,-17,4
2020-06-05,8,2,,-12,-22,6
2020-06-06,-7,-1,,1,-7,
2020-06-07,25,0,,25,-1,
2020-06-08,17,2,,-4,-18,4
2020-06-09,13,2,,-1,-18,3
2020-06-10,16,4,,-4,-19,4
2020-06-11,14,6,,-14,-22,5
2020-06-12,7,-1,,-14,-26,6
