US-DC,11001,2020-02-15,-2,-2,13,-2,-2,-1
US-DC,11001,2020-02-16,6,-1,37,3,0,-1
US-DC,11001,2020-02-17,-10,-12,21,-39,-52,11
US-DC,11001,2020-02-18,-5,-2,13,-3,-5,1
US-DC,11001,2020-02-19,-2,-3,7,-3,-5,1
US-DC,11001,2020-02-20,1,-6,10,-1,-5,2
US-DC,11001,2020-02-21,-3,-11,7,-3,-5,2
US-DC,11001,2020-02-22,0,4,25,5,2,-1
US-DC,11001,2020-02-23,3,2,25,7,3,-1
US-DC,11001,2020-02-24,-2,-7,11,2,5,1
US-DC,11001,2020-02-25,3,-6,9,5,2,0
US-DC,11001,2020-02-26,3,-3,-7,6,1,0
US-DC,11001,2020-02-27,5,-6,-5,6,0,0
US-DC,11001,2020-02-28,3,-3,-5,3,1,-1
US-DC,11001,2020-02-29,-6,-2,-9,-5,1,-1
US-DC,11001,2020-03-01,2,2,0,2,2,-2
US-DC,11001,2020-03-02,0,-2,-1,4,5,0
US-DC,11001,2020-03-03,8,3,2,3,3,-1
US-DC,11001,2020-03-04,14,5,8,5,1,-1
US-DC,11001,2020-03-05,8,1,6,3,1,0
US-DC,11001,2020-03-06,2,-2,-6,1,0,1
US-DC,11001,2020-03-07,1,3,8,3,0,-1
US-DC,11001,2020-03-08,11,5,33,9,1,-1
US-DC,11001,2020-03-09,6,5,31,0,1,1
US-DC,11001,2020-03-10,5,3,13,-3,-1,0
US-DC,11001,2020-03-11,0,3,5,0,-5,2
US-DC,11001,2020-03-12,-4,11,0,-13,-9,3
US-DC,11001,2020-03-13,-12,14,-5,-21,-15,5
US-DC,11001,2020-03-14,-28,5,-26,-30,-9,4
US-DC,11001,2020-03-15,-35,-7,-43,-39,-17,6
US-DC,11001,2020-03-16,-31,-1,-35,-43,-40,16
US-DC,11001,2020-03-17,-40,-6,-22,-55,-52,19
US-DC,11001,2020-03-18,-45,-13,-32,-59,-56,21
US-DC,11001,2020-03-19,-46,-11,-18,-63,-58,22
US-DC,11001,2020-03-20,-50,-10,-16,-62,-56,22
US-DC,11001,2020-03-21,-60,-14,-19,-59,-38,13
US-DC,11001,2020-03-22,-60,-24,-25,-64,-42,12
US-DC,11001,2020-03-23,-59,-32,-66,-72,-63,27
US-DC,11001,2020-03-24,-55,-24,-46,-71,-64,25
US-DC,11001,2020-03-25,-61,-31,-68,-75,-67,28
US-DC,11001,2020-03-26,-58,-25,-42,-73,-66,27
US-DC,11001,2020-03-27,-59,-27,-45,-70,-64,27
US-DC,11001,2020-03-28,-68,-30,-69,-70,-47,17
US-DC,11001,2020-03-29,-64,-30,-41,-68,-47,14
US-DC,11001,2020-03-30,-57,-26,-47,-72,-65,26
US-DC,11001,2020-03-31,-61,-32,-65,-77,-69,28
US-DC,11001,2020-04-01,-58,-26,-62,-76,-70,28
US-DC,11001,2020-04-02,-61,-30,-58,-77,-70,29
US-DC,11001,2020-04-03,-60,-26,-57,-74,-67,29
US-DC,11001,2020-04-04,-67,-27,-65,-71,-48,17
US-DC,11001,2020-04-05,-66,-33,-50,-71,-49,15
US-DC,11001,2020-04-06,-60,-33,-51,-75,-68,28
US-DC,11001,2020-04-07,-63,-34,-61,-78,-71,28
US-DC,11001,2020-04-08,-62,-31,-57,-77,-71,28
US-DC,11001,2020-04-09,-64,-36,-67,-78,-71,30
US-DC,11001,2020-04-10,-65,-34,-74,-77,-70,31
US-DC,11001,2020-04-11,-69,-28,-65,-69,-48,17
US-DC,11001,2020-04-12,-72,-41,-61,-73,-51,15
US-DC,11001,2020-04-13,-67,-41,-70,-79,-71,30
US-DC,11001,2020-04-14,-62,-31,-58,-77,-69,28
US-DC,11001,2020-04-15,-61,-29,-61,-77,-70,28
US-DC,11001,2020-04-16,-64,-33,-61,-79,-71,30
US-DC,11001,2020-04-17,-64,-32,-61,-76,-67,29
US-DC,11001,2020-04-18,-70,-31,-69,-71,-47,18
US-DC,11001,2020-04-19,-67,-33,-48,-71,-48,15
US-DC,11001,2020-04-20,-62,-34,-55,-76,-68,28
US-DC,11001,2020-04-21,-63,-33,-61,-78,-69,28
US-DC,11001,2020-04-22,-61,-31,-57,-77,-70,28
US-DC,11001,2020-04-23,-65,-36,-69,-78,-70,30
US-DC,11001,2020-04-24,-65,-34,-69,-77,-69,30
US-DC,11001,2020-04-25,-68,-28,-56,-69,-47,16
US-DC,11001,2020-04-26,-69,-39,-73,-74,-51,16
US-DC,11001,2020-04-27,-62,-34,-60,-76,-68,28
US-DC,11001,2020-04-28,-62,-32,-66,-77,-69,22
US-DC,11001,2020-04-29,-58,-26,-50,-76,-69,26
US-DC,11001,2020-04-30,-66,-39,-77,-81,-71,31
US-DC,11001,2020-05-01,-59,-23,-56,-74,-66,27
US-DC,11001,2020-05-02,-62,-18,-23,-64,-41,13
US-DC,11001,2020-05-03,-64,-30,-56,-71,-44,14
US-DC,11001,2020-05-04,-57,-25,-47,-74,-66,25
US-DC,11001,2020-05-05,-56,-26,-61,-76,-68,26
US-DC,11001,2020-05-06,-62,-31,-72,-78,-69,29
US-DC,11001,2020-05-07,-57,-23,-45,-74,-68,26
US-DC,11001,2020-05-08,-63,-27,-67,-74,-66,28
US-DC,11001,2020-05-09,-64,-18,-66,-68,-42,15
US-DC,11001,2020-05-10,-60,-22,-34,-67,-40,11
US-DC,11001,2020-05-11,-62,-33,-62,-75,-67,27
US-DC,11001,2020-05-12,-59,-27,-54,-75,-67,26
US-DC,11001,2020-05-13,-57,-24,-43,-74,-66,26
US-DC,11001,2020-05-14,-59,-28,-50,-75,-67,27
US-DC,11001,2020-05-15,-58,-23,-37,-71,-64,25
US-DC,11001,2020-05-16,-62,-20,-32,-63,-39,12
US-DC,11001,2020-05-17,-63,-30,-43,-68,-40,13
US-DC,11001,2020-05-18,-59,-31,-56,-74,-65,27
US-DC,11001,2020-05-19,-57,-26,-53,-75,-66,25
US-DC,11001,2020-05-20,-58,-26,-53,-74,-66,26
US-DC,11001,2020-05-21,-58,-26,-50,-74,-66,26
US-DC,11001,2020-05-22,-61,-27,-61,-74,-64,27
US-DC,11001,2020-05-23,-60,-16,-30,-63,-34,11
US-DC,11001,2020-05-24,-60,-27,-31,-67,-38,11
US-DC,11001,2020-05-25,-62,-32,-16,-81,-78,25
US-DC,11001,2020-05-26,-57,-25,-42,-73,-63,23
US-DC,11001,2020-05-27,-57,-25,-46,-73,-64,25
US-DC,11001,2020-05-28,-58,-27,-56,-74,-65,26
US-DC,11001,2020-05-29,-56,-23,-44,-70,-60,24
US-DC,11001,2020-05-30,-56,-15,-16,-57,-22,10
US-DC,11001,2020-05-31,-54,-23,-1,-59,-24,9
US-DC,11001,2020-06-01,-54,-30,-38,-69,-61,23
US-DC,11001,2020-06-02,-54,-26,-30,-70,-63,23
US-DC,11001,2020-06-03,-51,-19,-35,-69,-62,23
US-DC,11001,2020-06-04,-54,-24,-40,-72,-63,24
US-DC,11001,2020-06-05,-56,-23,-47,-69,-59,24
US-DC,11001,2020-06-06,-53,-12,15,-36,-26,8
US-DC,11001,2020-06-07,-51,-17,4,-55,-26,8
US-DC,11001,2020-06-08,-51,-21,-30,-68,-59,22
US-DC,11001,2020-06-09,-51,-20,-33,-70,-61,22
US-DC,11001,2020-06-10,-53,-19,-44,-71,-61,22
US-DC,11001,2020-06-11,-54,-23,-46,-71,-62,24
US-DC,11001,2020-06-12,-52,-16,-29,-66,-57,20
